Sr. No.,Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Tot Cases_per_1M pop,Deaths_per_1M pop,Total_Tests,Tests_per_1M pop,Population
145,Togo,35665,261,28439,6965,4158,30,643207,74995,8576711
146,Guinea,35202,406,30929,3867,2573,30,578214,42268,13679689
147,Barbados,34961,269,29511,5181,121428,934,500252,1737493,287916
148,Mayotte,33757,186,2964,30607,119315,657,176919,625326,282923
149,Curaçao,32892,202,21287,11403,199195,1223,422498,2558656,165125
150,Lesotho,31734,687,19915,11132,14635,317,364750,168214,2168363
151,Seychelles,31098,136,25416,5546,313226,1370,N/A,N/A,99283
152,Bahamas,30655,719,23020,6916,76826,1802,200421,502282,399021
153,Tanzania,30564,740,N/A,N/A,490,12,N/A,N/A,62346048
154,Aruba,30420,184,28418,1818,283074,1712,177885,1655314,107463
155,Andorra,29888,142,24030,5716,385876,1833,249838,3225589,77455
156,Mali,28321,688,23293,4340,1339,33,569746,26943,21146192
157,Haiti,27082,780,23891,2411,2331,67,132422,11400,11616215
158,Benin,26036,162,25033,841,2065,13,604310,47920,12610747
159,Mauritius,24729,762,22586,1381,19395,598,358675,281311,1275014
160,Somalia,24261,1335,13182,9744,1464,81,400466,24162,16573922
161,Congo,22969,371,18993,3605,4011,65,328562,57374,5726657
162,Burkina Faso,20127,339,18428,1360,924,16,242231,11120,21783240
163,Timor-Leste,19861,122,19715,24,14636,90,226374,166816,1357026
164,Taiwan,17769,851,16064,854,744,36,9739306,407791,23883082
165,Nicaragua,17563,214,4225,13124,2604,32,N/A,N/A,6745719
166,Tajikistan,17095,124,16966,5,1733,13,N/A,N/A,9866673
167,Saint Lucia,16969,314,13783,2872,91765,1698,116945,632415,184918
168,South Sudan,16489,136,12934,3419,1447,12,310727,27268,11395479
169,Brunei,15750,98,15381,271,35479,221,697770,1571837,443920
170,Equatorial Guinea,15319,178,13539,1602,10395,121,273437,185543,1473714
171,New Zealand,15001,52,13944,1005,2999,10,5776926,1154900,5002100
172,Djibouti,14841,189,13984,668,14693,187,266658,263996,1010083
173,Isle of Man,14126,70,13755,301,164783,817,133676,1559358,85725
174,New Caledonia,13536,281,12610,645,46721,970,98964,341587,289718
175,CAR,13319,108,6859,6352,2686,22,74519,15028,4958802
176,Hong Kong,13030,213,12327,490,1717,28,31341334,4129016,7590509
177,Cayman Islands,11666,15,8093,3558,174359,224,215963,3227761,66908
178,Gambia,11122,344,9844,934,4412,136,135608,53794,2520893
179,Gibraltar,10752,100,8933,1719,319278,2969,469373,13937908,33676
180,San Marino,10350,103,8495,1752,304045,3026,114526,3364355,34041
181,Yemen,10218,1988,7045,1185,331,64,265253,8602,30834940
182,Faeroe Islands,9761,15,7538,2208,198604,305,692000,14079922,49148
183,Grenada,9535,203,6082,3250,84139,1791,110517,975222,113325
184,Eritrea,8876,86,8255,535,2451,24,23693,6542,3621866
185,Bermuda,8541,110,6549,1882,137927,1776,728035,11756912,61924
186,Sint Maarten,8433,75,5715,2643,193311,1719,62056,1422520,43624
187,Niger,8366,288,7305,773,327,11,211457,8276,25550833
188,Greenland,7871,3,2761,5107,138279,53,159603,2803939,56921
189,Dominica,7822,48,7169,605,108246,664,135536,1875645,72261
190,Comoros,7745,159,6788,798,8624,177,N/A,N/A,898055
191,Saint Martin,7713,60,1399,6254,194385,1512,78366,1974999,39679
192,Sierra Leone,7529,125,N/A,N/A,915,15,259958,31601,8226186
193,Liechtenstein,7153,72,6582,499,186782,1880,80413,2099775,38296
194,Liberia,7121,287,5747,1087,1359,55,139824,26683,5240245
195,Guinea-Bissau,7004,152,6337,515,3434,75,114550,56168,2039434
196,Monaco,6610,44,6095,471,166625,1109,54960,1385430,39670
197,St. Vincent Grenadines,6581,85,5574,922,59032,762,94386,846648,111482
198,Chad,6556,185,4874,1497,382,11,191341,11157,17149390
199,Sao Tome and Principe,5495,65,3992,1438,24378,288,29036,128813,225412
200,Caribbean Netherlands,5438,25,4460,953,204451,940,30126,1132642,26598
201,Antigua and Barbuda,5321,120,4175,1026,53652,1210,18685,188402,99176
202,British Virgin Islands,5255,42,N/A,N/A,172069,1375,96147,3148232,30540
203,Turks and Caicos,4956,30,4110,816,125399,759,94789,2398386,39522
204,Saint Kitts and Nevis,4882,28,3494,1360,90781,521,63428,1179441,53778
205,St. Barth,2927,6,N/A,N/A,294971,605,56491,5692936,9923
206,Bhutan,2904,3,2654,247,3701,4,1341687,1709874,784670
207,Anguilla,2040,6,1857,177,134131,395,51382,3378394,15209
208,Diamond Princess,712,13,699,0,N/A,N/A,N/A,N/A,N/A
209,Wallis and Futuna,454,7,438,9,41514,640,20508,1875274,10936
210,Saint Pierre Miquelon,415,N/A,217,198,72174,N/A,15956,2774957,5750
211,Montserrat,129,1,61,67,25815,200,7277,1456274,4997
212,Falkland Islands,85,N/A,N/A,N/A,23377,N/A,8528,2345435,3636
213,Macao,79,N/A,77,2,119,N/A,5075,7655,662941
214,Palau,64,N/A,14,50,3511,N/A,19159,1051133,18227
215,Vatican City,27,N/A,27,0,33582,N/A,N/A,N/A,804
216,Solomon Islands,25,N/A,20,5,35,N/A,4500,6314,712751
217,Western Sahara,10,1,8,1,16,2,N/A,N/A,619892
218,MS Zaandam,9,2,7,0,N/A,N/A,N/A,N/A,N/A
219,Vanuatu,7,1,6,0,22,3,23000,72289,318168
220,Marshall Islands,7,N/A,4,3,117,N/A,N/A,N/A,59804
221,Samoa,3,N/A,3,0,15,N/A,N/A,N/A,200442
222,Saint Helena,2,N/A,2,0,328,N/A,N/A,N/A,6105
223,Micronesia,1,N/A,1,0,9,N/A,N/A,N/A,116877
224,Tonga,1,N/A,1,0,9,N/A,N/A,N/A,107537
